English,Japanese
Superscript,上付き文字
Superscript (Ctrl++),上付き文字 (Ctrl++)
Support older Anki versions (slower/larger files),Ankiの古いバージョンをサポート（より遅い/より大きいファイル）
Suspend,休止
Suspend Card,カードを休止
Suspended,休止中
Suspended,休止中
Suspend Note,ノートを休止
Synchronisation,同期
Synchronize audio and images too,音声と画像も同期する
Syncing...,同期中...
Tab,タブ
Tag all notes,すべてのノートにタグ
Tag Duplicates,重複にタグを付ける
Tag Missing,欠落ファイルを引用しているノートにタグ
Tag modified notes:,更新されたノートに付けるタグ：
Tag Only,タグを付けるだけ
"`Tag Only`: Add a ""leech"" tag to the note, and display a pop-up.

`Suspend Card`: In addition to tagging the note, hide the card until it is
manually unsuspended.","`タグのみ`：そのノートに「leech」というタグを付け、注意を喚起するためにポップアップを表示します。

`カードを休止`：上記の操作に加えて、カードの表示を無期限で休止します。手動で休止を解除するまではカードを学習画面に表示しません。"
Tags,タグ
Tags,タグ
Tag updated notes,更新したノートにタグ
Target field:,対象フィールド:
Template,テンプレート
Templates,テンプレート
Text,文字
Text,Text
Text color,文字色
Text highlight color,文字の背景色
Text separated by tabs or semicolons (*),テキスト(タブ区切りまたはセミコロン区切り) (*)
Text to show inside the field when it's empty,フィールドが空の場合にノートエディタのフィールド内に表示されるテキスト
That field name is already used.,そのフィールド名は既に使用しています。
"The action to perform after the answer is shown, and time has elapsed.",カードの解答側が表示されてから、解答表示時間が経過した後に実行するアクション。
"The action to perform after the question is shown, and time has elapsed.",カードの質問側が表示されてから、質問表示時間が経過した後に実行するアクション。
The action to perform on the current card before automatically advancing to the next one.,ユーザーが回答などの操作を手動で行わず、自動的に次のカードに進む前に、現在のカードに対して実行するアクション。
"The back side of a card, customisable in the card template editor",カードの裏側。カードテンプレートのエディタでカスタマイズすることができます。
"The character separating fields in the text file. You can use the preview to check
if the fields are separated correctly.

Please note that if this character appears in any field itself, the field has to be
quoted accordingly to the CSV standard. Spreadsheet programs like LibreOffice will
do this automatically.","テキストファイル内で各フィールドを区切っている文字。プレビューを使用して、フィールドが正しく区切られているかどうかを確認できます。

この文字自体をフィールド内に表示したい場合、そのフィールドをCSVの一般的な書式に従って引用符で囲む必要があることに注意してください。LibreOfficeのような表計算ソフトは自動的にこれを行います。"
The default configuration can't be removed.,これはデフォルトのプリセットなので削除できません。
"The default order prioritizes cards that have been waiting longest, so that
if you have a backlog of reviews, the longest-waiting ones will appear
first. If you have a large backlog that will take more than a few days to
clear, or wish to see cards in subdeck order, you may find the alternate
sort orders preferable.","デフォルトでは、最も長い期間待機しているカードが最初に表示されるよう、待機日数が大きい順にカードを表示します。
復習カードが蓄積してすべてのカードをこなすのに数日以上を要する場合や、あるいはサブデッキの順番でカード学習をしたい場合など、状況や好みに応じて別のソート方法を選択することができます。"
"The default value of 0.9 will schedule cards so you have a 90% chance of remembering them when
they come up for review again. If you increase this value, Anki will show cards more frequently
to increase the chances of you remembering them. If you decrease the value, Anki will show cards
less frequently, and you will forget more of them. Be conservative when adjusting this - higher
values will greatly increase your workload, and lower values can be demoralizing when you forget
a lot of material.","デフォルト値の0.9では、あなたがカードを復習する際に答えを忘れずに覚えている確率が90%となるタイミングを予測してスケジュールを組み立てます。

この値を上げると、Ankiはあなたが答えを忘れずに覚えていやすくなるよう、より頻繁に、つまり、より短めの間隔でカードを表示します。

この値を下げると、より少ない頻度で、つまり、より長めの間隔でカードを表示し、結果として、あなたは答えを比較的忘れやすくなると予想されます。

この値の調整は、控えめに、慎重に行ってください。値を上げすぎると、学習量が大幅に増えて重荷になってしまいますし、値を下げすぎると、答えを忘れてしまうカードが多くなって、学習意欲が下がってしまうかもしれません。"
The delay at which you're 90% likely to remember.,そのカードに正解できる確率が100％から90%に減少するまでの間隔の長さ
"The ease multiplier new cards start with. By default, the `Good` button on a
newly-learned card will delay the next review by 2.5x the previous delay.","習得ステップを修了した際にカードに設定される、復習間隔の広がり方を定める乗数。「易しさ」の初期値。

デフォルトの値2.50の場合、習得ステップ修了後の最初の復習で「正解」と回答すると、そのカードの次の復習までの間隔は、その時の復習までの間隔の2.5倍となります。"
The easy interval should be at least as long as the graduating interval.,「簡単」と回答後の最初の復習間隔は、習得ステップ修了後の最初の復習間隔より長くする（少なくとも同じにする）ことをお勧めします。
"the escape sequence `{ $val }` is not defined. If you want to search for a literal backslash `\`, prepend another one: `\\`.",エスケープシーケンス`{ $val }`は定義されていません。バックスラッシュ`\`自体を検索したい場合は、前にもう一つ付け加えてください：`\\`
"The field name should not contain :, "", { ""{"" } or { ""}"" }.","フィールド名にはこれらを含めることはできません：:, "", { ""{"" }, { ""}"" }"
"The field name should not start with #, ^ or /.",フィールド名の始めに「#」「^」「/」を使用することはできません。
The file you selected is empty.,選択したファイルが空です。
The first field is empty.,最初のフィールドが空欄です。
The first field of the note type must be mapped.,ノートタイプの最初のフィールドは割り当てなくてはなりません。
"The following files are referenced by cards, but were not found in the media folder:",▼ 次のファイルを参照しているカードがありますが、該当するファイルがメディアフォルダ内にありません
"The following files are referenced by cards, but were not found in the media folder:",以下のファイルはカードに引用されていますが、メディアフォルダ内で該当するファイルが見つかりません：
"The following files were found in the media folder, but do not appear to be used on any cards:",▼ 次のファイルはメディアフォルダ内に存在していますが、どのカードにも使用されていません
"The following files were found in the media folder, but do not appear to be used on any cards:",以下のファイルはメディアフォルダ内に存在していますが、どのカードにも使用されていません：
The front of this card is blank.,カードの表面が空白になっています。
The front of this card is blank.,カードの表面が空白になっています。
The front side is identical to card template { $number }.,表面側がカードタイプ{ $number }のテンプレートと同一です。
"The front side of a card, customisable in the card template editor",カードの表（おもて）側。カードテンプレートのエディタでカスタマイズすることができます。
The FSRS parameters currently appear to be optimal.,FSRSパラメータは、今のところ、このままの値が最適であると思われます。
The graduating interval should be at least as long as your final learning step.,習得ステップ修了後の最初の復習間隔は、最後の習得ステップの間隔より長くする（少なくとも同じにする）ことをお勧めします。
"The higher the difficulty, the harder it is to remember.",難度が高いほど、思い出すことが難しくなります。
"The higher the difficulty, the slower stability will increase.",難度が高いほど、安定度が上がりにくくなります
"The last time changes were made to a card, including reviews, flags and deck changes",最後にカードの変更が行われたとき（復習、フラグ、デッキの変更を含む）
"The last time changes were made to a note, usually field content or tag edits",最後にノートの変更が行われたとき（フィールドの内容やタグ編集など）
"The lower the ease, the more frequently a card will appear.",易しさが低いほど、カードが表示される頻度が高くなります。
"The maximum number of days a review card will wait. When reviews have
reached the limit, `Hard`, `Good` and `Easy` will all give the same delay.
The shorter you set this, the greater your workload will be.","復習カードが再び表示されるまでの日数の最大値。

設定した上限に達した場合、そのカードの「`難しい`」「`正解`」「`簡単`」のいずれのボタンでも同じ日数が表示されることがあります。

ここでの設定日数を短くするほど、学習負荷がかかります。"
"The maximum number of new cards to introduce in a day, if new cards are available.
Because new material will increase your short-term review workload, this should typically
be at least 10x smaller than your review limit.","一日に導入（＝学習を開始）する新規カードの最大枚数。

導入する新規カードの枚数が増加するほど、それらのカードの初期の復習期日が短期間に密集しがちになり、過度な学習負荷となるおそれがあります。そのため、一日の新規カード導入枚数の上限は、一日の復習枚数の上限の１０分の１以下とすることをお勧めします。"
"The maximum number of review cards to show in a day,
if cards are ready for review.",復習する期日に達しているカードの、一日に出題する最大枚数。
"The maximum number of seconds to record for a single review. If an answer
exceeds this time (because you stepped away from the screen for example),
the time taken will be recorded as the limit you have set.","カード学習に要した時間として記録する１件の回答の最長秒数。

この秒数を超えた場合（例えば、カード学習の途中でスクリーンから離れた場合など）、ここで設定した最長秒数がそのカードの回答に要した時間として記録されます。

「回答タイマーを表示する」オプションがオンの場合、この秒数に達するとタイマーのカウントアップが停止します。"
Theme,テーマ
Theme: { $theme },テーマ: { $theme }
The minimum interval given to a review card after answering `Again`.,復習カードに`もう一度`と回答し、再学習ステップを完了した後にそのカードが再び表示されるまでの最短日数。
The minimum lapse interval should be at least as long as your final relearning step.,復習再開時の復習間隔の下限は、最後の再習得ステップの間隔より長くする（少なくとも同じにする）ことをお勧めします。
The multiplier applied to a review interval when answering `Again`.,復習カードに「もう一度」と回答した場合に、復習間隔に対して適用される乗数。
The multiplier applied to a review interval when answering `Hard`.,復習カードに「難しい」と回答した場合に、復習間隔に適用される乗数。
The name of a card's card template,カードのカードテンプレート名
The name of a note's notetype,ノートのノートタイプ名
The next learning card will be ready in { $amount } hours.,{ $amount }時間後に再び課題となる習得中カードがあります。
The number of cards a note has,ノートが持つカードの枚数
"The number of days to wait before showing a card again, after the `Easy` button
is used to immediately remove a card from learning.",「`簡単`」ボタンが押され、習得中カードから復習カードへと直ちに切り替わった場合に、そのカードが再び表示されるまでの日数。
"The number of days to wait before showing a card again, after the `Good` button
is pressed on the final learning step.",最後の習得ステップで「`正解`」ボタンが押された場合に、そのカードが再び表示されるまでの日数。
The number of new cards you have added.,新規カードを追加した枚数
The number of questions you have answered.,学習した時期と枚数（カードに回答した回数）
The number of reviews due in the future.,今日から期日 (次の復習または習得学習) までの間隔と枚数
The number of seconds to wait before automatically advancing to the next question. Set to 0 to disable.,"解答を表示してから、次のカードを自動表示するまでの待機秒数。答え合わせをするための時間です。

値を0にすると、この自動表示機能がオフになります。
それ以外の場合、学習画面右下の「その他」→「カードの自動送り」を選択すると、この自動表示機能がオンになります。"
The number of seconds to wait before automatically revealing the answer. Set to 0 to disable.,"解答を自動表示するまでの待機秒数。質問の答えを考えるための時間です。

値を0にすると、この自動表示機能がオフになります。
それ以外の場合、学習画面右下の「その他」→「カードの自動送り」を選択すると、この自動表示機能がオンになります。"
"The number of times `Again` needs to be pressed on a review card before it is
marked as a leech. Leeches are cards that consume a lot of your time, and
when a card is marked as a leech, it's a good idea to rewrite it, delete it, or
think of a mnemonic to help you remember it.","復習時に何回間違えれば（＝復習カードに何回「`もう一度`」ボタンを押せば）「leech」（苦戦、忘却多発）の状態だと判定して「leech」のタグを付けるか、を設定します。

苦戦（忘却多発）の状態のカードは、あなたの時間をたくさん消費しています。内容を書き直す、削除する、印象に残る覚え方を工夫するなど、何らかの対策を行うことをおすすめします。"
The number of times you have pressed each button.,各ボタンを押した回数と正答率
The probability of recalling a card today.,今、そのカードの答えを思い出せる（忘れずに覚えている）確率
The provided file is not a valid .apkg file.,指定したファイルは正当な .apkg ファイルではありません。
The provided search did not match any cards. Would you like to revise it?,指定した検索項目は、どのカードにも一致しませんでした。検索項目を変えてみてください。
There are { $remaining } learning cards due later today.,今日中に再び課題となる習得中カードは、今のところ{ $remaining }枚あります。
"There are more new cards available, but the daily limit has been
reached. You can increase the limit in the options, but please
bear in mind that the more new cards you introduce, the higher
your short-term review workload will become.",未導入の新規カードがまだ残っていますが、今日の新規カード導入枚数がすでに一日の上限に達しています。デッキのオプションで「一日の新規カード導入枚数の上限」を上げることも可能ですが、一日の導入枚数を増やすほど、その後、短めの間隔の復習が急増しやすくなることに注意してください。
"There is a conflict between decks on this device and AnkiWeb. You must choose which version to keep:

- Select **{ sync-download-from-ankiweb }** to replace decks here with AnkiWeb’s version. You will lose any changes you made on this device since your last sync.
- Select **{ sync-upload-to-ankiweb }** to overwrite AnkiWeb’s versions with decks from this device, and delete any changes on AnkiWeb.

Once the conflict is resolved, syncing will work as usual.","現在使用中のこのコレクションには、AnkiWeb上のコレクションと競合する内容があり、双方を統合できません。競合を解消するため、どちらのコレクションを維持するかを選択する必要があります。

- このコレクションを維持したい場合は「**{ sync-upload-to-ankiweb }**」を選択してください。このコレクションをAnkiWebにアップロードし、AnkiWeb上のコレクションをこのコレクションで上書きします。AnkiWeb上のコレクションにあった、このコレクションと異なる内容は失われます。
- AnkiWeb上のコレクションを維持したい場合は「 **{ sync-download-from-ankiweb }**」を選択してください。AnkiWeb上のコレクションをダウンロードし、現在使用中の、このコレクションを上書きします。前回の同期以降にこのコレクションで行った変更は失われます。

いずれかの選択によって一方向同期が行われた後は、競合が解消され、通常の同期が行えるようになります。"
"The requested change will require a one-way sync. If you have made changes
on another device, and not synced them to this device yet, please do so before
you proceed.",この変更を行うと、次回の同期の際に一方向同期（一方のデータベースをもう片方に上書きする同期）が必要となります。他のデバイスで何らかの変更（カード学習など）を行い、このデバイスとまだ同期していない場合は、この操作を続行する前にそちらの同期を済ませてください。
"The review limit affects the new limit. For example, if your review limit is
set to 200, and you have 190 reviews waiting, a maximum of 10 new cards will
be introduced. If your review limit has been reached, no new cards will be
shown.",一日の復習枚数の上限は、一日の新規カード導入枚数も制限します。例えば、一日の復習枚数の上限を200に設定し、期日を迎えたカードが190枚ある場合、その日に導入される新規カードは最大で10枚となります。また例えば、期日を迎えたカードの枚数が、一日の復習枚数の上限に達している場合、その日に新規カードは導入されません。
"The review limit also affects interday learning cards. When applying the limit,
interday learning cards are fetched first, then reviews.",この枚数には、文字通りの復習カードだけでなく、その時点のステップが日をまたいでいる習得中カード（または再習得中カード）も含まれます。この枚数のカードが準備されるときは、習得中または再習得中であるそれらのカードが優先的に集められ、その後に復習カードが集められます。
These tags will be added to any updated notes.,指定したタグを、更新したノートに付けます。
These tags will be added to both newly-imported and updated notes.,指定したタグを、新たにインポートしたノートと更新したノートの両方に付けます。
The time taken to answer the questions.,学習した時期と学習（回答）に費やした時間
The trash folder is now empty.,ごみ箱フォルダを空にしました
This action can only be used on a filtered deck.,このアクションはフィルターデッキでのみ使用できます。
This action is currently not supported on your system.,このアクションは現在お使いのシステムでサポートされていません。
This collection requires a newer version of Anki to open.,このコレクションを開くには新しいバージョンのAnkiが必要です。
This deck,このデッキ
This deck contains timestamps in the future. Please contact the deck author and ask them to fix the issue.,このデッキには未来の日時のタイムスタンプが含まれています。デッキの作成者に連絡して、問題の修正を依頼してください。
"This file does not appear to be a valid .apkg file. If you're getting this error from a file downloaded from AnkiWeb, chances are that your download failed. Please try again, and if the problem persists, please try again with a different browser.",このファイルは正当な .apkgファイルではないようです。このエラーが AnkiWeb からダウンロードしたファイルで発生した場合、ダウンロードが失敗した可能性があります。再度ダウンロードしても この問題が続くようであれば、別のウェブブラウザからもう一度試してみてください。
"This is a { ""{{c1::"" }sample{ ""}}"" } cloze deletion.","これは穴埋め問題の{ ""{{c1::"" }サンプル{ ""}}"" }です。"
"This is a required field, and can not be deleted.",これは必須フィールドであり、削除できません。
This is a special deck for studying outside of the normal schedule.,これは標準のスケジュールから外れて学習する特別なデッキです。
"This multiplier is applied to all reviews, and minor adjustments can be used
to make Anki more conservative or aggressive in its scheduling. Please see
the manual before changing this option.",ここで設定する乗数はすべての復習に適用され、Ankiのスケジューリングの間隔をお好みに合わせて微調整することができます。この設定を変更する際にはマニュアルをご確認ください。
"This tool assumes that you’re starting with 0 learned cards, and will attempt to find the desired retention
value that will lead to the most material learnt, in the least amount of time. This number can be used as a
reference when deciding what to set your desired retention to. You may wish to choose a higher desired retention,
if you’re willing to trade more study time for a greater recall rate. Setting your desired retention lower than
the minimum is not recommended, as it will lead to more work without benefit.","このツールは、あなたがまだどのカードも学習していない状態で学習を開始すると想定して、最少の学習時間（学習回数）で最大の学習成果につながる`目標正答率`を推定します。

この値は、あなたが`目標正答率`の値を調整する際の参考値となります。

「学習時間（学習回数）が増えてもかまわないから、実際の正答率をもっと高くしたい」という場合は、この値よりも高い値を`目標正答率`として設定するのもよいでしょう。

この値よりも低い値を`目標正答率`として設定するのはおすすめしません。成果があまり見込めない学習を繰り返すという結果になると予想されるためです。"
"This tool assumes that you’re starting with 0 learned cards, and will attempt to find the desired retention value 
that will lead to the most material learnt, in the least amount of time. To accurately simulate your learning process, 
this feature requires a minimum of 400+ reviews. The calculated number can serve as a reference when deciding what to 
set your desired retention to. You may wish to choose a higher desired retention, if you’re willing to trade more study 
time for a greater recall rate. Setting your desired retention lower than the minimum is not recommended, as it will 
lead to a higher workload, because of the high forgetting rate.","このツールは、あなたがまだどのカードも学習していない状態で学習を開始すると想定して、最少の学習時間（学習回数）で最大の学習成果につながる`目標正答率`を推定します。あなたの学習プロセスを高い精度でシミュレートするために、この機能を使用するには400件以上の復習履歴が必要です。

この値は、あなたが`目標正答率`の値を調整する際の参考値となります。

「学習時間（学習回数）が増えてもかまわないから、実際の正答率をもっと高くしたい」という場合は、この値よりも高い値を`目標正答率`として設定するのもよいでしょう。

この値よりも低い値を`目標正答率`として設定するのはおすすめしません。成果があまり見込めない学習を繰り返すという結果になると予想されるためです。"
"This tool assumes you're starting with 0 cards, and will attempt to calculate the amount of material you'll
be able to retain in the given time frame. The estimated retention will greatly depend on your inputs, and
if it significantly differs from 0.9, it's a sign that the time you've allocated each day is either too low
or too high for the amount of cards you're trying to learn. This number can be useful as a reference, but it
is not recommended to copy it into the desired retention field.","このツールは、あなたがまだどのカードも学習していない状態で学習を開始すると仮定して、指定された学習プラン（枚数、日数、１日あたりの学習時間）に基づく正答率を推定します。

推定される正答率は各項目に入力する値によって大きく変化します。推定値と0.9との差が著しく大きい場合は、予定の学習枚数に対して、予定の学習時間が少なすぎるか、または多すぎる可能性があります。

この値は、あくまで学習プランの調整などのための参考値であり、`目標正答率`の欄でそのまま使用するための推奨値ではありません。"
"This tool will attempt to find the desired retention value 
that will lead to the most material learnt, in the least amount of time. The calculated number can serve as a reference
when deciding what to set your desired retention to. You may wish to choose a higher desired retention, if you’re 
willing to trade more study time for a greater recall rate. Setting your desired retention lower than the minimum
is not recommended, as it will lead to a higher workload, because of the high forgetting rate.","このツールは、最も学習効率の高い（＝最高水準の学習成果を、できるだけ少ない学習時間・学習回数で達成する）`目標正答率`を推定します。

この値は、あなたが`目標正答率`の値を調整する際の参考値とすることができます。

「学習時間や学習回数が増えてもかまわないから、実際の正答率をさらに高くしたい」という場合は、この値よりも高い値を`目標正答率`として設定するのもよいでしょう。

この値よりも低い値を`目標正答率`として設定するのはおすすめしません。復習間隔が大きくなりすぎて正答を思い出しにくくなり、かえって学習の負担が高くなると予想されるためです。"
This will create { $count } cards. Proceed?,{ $count }枚のカードが作成されます。続行しますか？
This will delete your existing collection and replace it with the data in the file you're importing. Are you sure?,この処理は、既存のコレクションを削除し、今からインポートするファイルのデータに置き換えます。本当に実行しますか？
"This will reset all fields and templates in this notetype to their default
values, removing any extra fields/templates and their content, and any custom styling. Do you wish to proceed?",この操作を行うと、このノートタイプに含まれるすべてのフィールドとテンプレートの設定が初期状態にリセットされます。追加したフィールドやテンプレート、それらの内容、スタイリングの変更はいずれも削除されます。本当にこのまま操作を行ってよろしいですか？
"This will reset any cards in learning, clear filtered decks, and change the scheduler version. Proceed?",続行することで、学習中のすべてのカードのリセット、フィルターデッキの除去、スケジューラーのバージョン変更が行われます。よろしいですか？
Time,時間
Time,時間
Timebox time limit,タイムボックス（学習時間の目標・区切り）
Timer,タイマー
Times pressed,回答数
Today,今日
Today,今日
Today only,今日だけ
"Today's review limit has been reached, but there are still cards
waiting to be reviewed. For optimum memory, consider increasing
the daily limit in the options.","期日に達しているカードがまだ残っていますが、今日の復習枚数が一日の上限に達しています。
適切なタイミングでの復習によって記憶を維持するため、デッキのオプションで「一日の復習枚数の上限」を上げることを検討してください。"
Toggle actual size,実寸表示[エディタの幅が上限] / コンパクト表示  の切り替え
Toggle Bury,今日は非表示 / 非表示解除
Toggle Cards/Notes,テーブル表示を切り替える（カード / ノート）
Toggle HTML Editor,HTMLエディタを表示
Toggle Mark,マークを付ける / 取りはずす
Toggle Mask Editor,マスクエディタを表示
Toggle Masks,他マスクの 表示 / 非表示 を切り替え
Toggle sticky,この内容を固定
Toggle Suspend,休止 / 休止解除
Toggle Translucency,マスク半透明表示の切り替え
Toggle Visual Editor,ビジュアルエディタを表示/非表示
"To make a cloze deletion on an existing note, you need to change it to a cloze type first, via 'Notes>Change Note Type'",このノートに穴埋め問題を作るには、まず今のノートタイプを穴埋め問題用のノートタイプに変更する必要があります。[ノート] > [ノートタイプを変更] から、穴埋め問題用のノートタイプを選択してください。
To Review,復習
Total,合計
Total,合計
Total Time,合計時間
"Trash folder: { $count } files, { $megs }MB",ごみ箱フォルダ：{ $count }ファイル、{ $megs }MB
Treat input as regular expression,入力条件に正規表現を使う
"Treats input as markdown, and cleans HTML input. When enabled, the
description will also be shown on the congratulations screen.
Markdown will appear as text on Anki 2.1.40 and below.","Markdown記法で入力された文字列として扱い、HTMLの入力を無視します。このオプションを有効にした場合、「おめでとうございます」の画面でもこの説明文が表示されます。

Anki 2.1.40 とそれ以下のバージョンでは、Markdown記法で入力された文字列はプレーンテキストとして表示されます。"
Turquoise,ターコイズ
Type,ノートタイプ
Type,種類
Type answer: unknown field { $val },解答キー入力: 不明なフィールド { $val }
<type here to search; hit enter to show current deck>,<ここに入力すると検索します; enter を押すと現在のデッキを表示します>
"Unable to add. Either you have not added any occlusions, or the first field is empty.",ノートを追加できませんでした。画像上にマスクを一つも追加していないか、最初のフィールドが空です。
Unable to determine a minimum recommended retention.,有益な目標正答率の下限を推定できませんでした
Unable to import { $filename }: file type not supported,{ $filename }をインポートできません：このファイルのタイプはサポートされていません。
Unable to import from a read-only file.,読み取り専用ファイルはインポートできません。
Unable to sync - your clock is not set to the correct time.,同期できません。あなたの時計の時間が正しく設定されていません。
Unbury,非表示を解除
unbury them,非表示を解除
Unbury/Unsuspend,非表示解除 / 休止解除
Underline text,下線を追加
Underline text (Ctrl+U),下線 (Ctrl+U)
Undo,元に戻す
Undo { $val },{ $val } を元に戻す
Ungroup Selection,選択対象のグループ化を解除
Unknown file format.,ファイルの種類が不明。
Unordered list,リスト（順序なし）
Untagged,タグなし
Unused: { $filename },未使用：{ $filename }
Unused: { $filename },使用なし：{ $filename }
Unused files: { $count },使用されていないファイル数：{ $count }
Unused files: { $count },使用されていないファイル：{ $count }個
Update,更新
Update,アップデート
Update Card,カードを更新
Update Config,設定を更新
Updated,更新
Update Deck,デッキの更新
Update existing notes when first field matches,最初のフィールドが一致した場合、既存のノートを更新する
Update Note,ノートの更新
Update notes,ノートを更新
Update Notetype,ノートタイプを更新
Update notetypes,ノートタイプを更新
Updates,更新
Update Tag,タグの更新
Update with Current Search,現在の検索条件で更新
Updating cards: { $current_cards_count }/{ $total_cards_count }...,カードを更新中: { $current_cards_count }/{ $total_cards_count }...
Uploading to AnkiWeb...,AnkiWebにアップロード中...
Upload to AnkiWeb,AnkiWeb にアップロード
used by { $decks } decks,{ $decks }個のデッキで使用中
used by { $decks } decks,{ $decks }個のデッキで使用中
Use HTML editor by default,デフォルトでHTMLエディタを使用
User 1,ユーザー 1
User Interface,ユーザーインターフェース
User interface size,ユーザーインターフェースのサイズ
V3 scheduler,V3スケジューラ―
View in browser,ブラウザで見る
Wait for audio,音声再生終了を待つ
Wait for audio to finish before automatically applying the question action or answer action.,`解答表示時間経過後の自動アクション`または`解答表示時間経過後の自動アクション`を実行する前に、音声の再生が終了するのを待ちます。
Wait for audio to finish before automatically revealing answer or next question,解答を自動的に表示する前、または自動回答アクションを行う前に、音声の再生が終了するのを待ちます。
"Warning, cloze deletions will not work until you switch the type at the top to Cloze.",注意: 穴埋め問題は上部にある「ノートタイプ」の設定を「穴埋め問題」タイプに変更するまで機能しません。
Weekly backups to keep:,各週代表のバックアップ保管数（何週分）
"What to do if an imported note matches an existing one.

- `{ importing-update }`: Update the existing note.
- `{ importing-preserve }`: Do nothing.
- `{ importing-duplicate }`: Create a new note.","インポートしたノートが既存のノートと一致した場合の処置を設定します。

- `{ importing-update }`: 既存のノートを更新します。
- `{ importing-preserve }`: 何も行いません。既存のノートが維持されます。
- `{ importing-duplicate }`: 既存のノートを維持し、インポートしたノートを新規ノートとして追加します。"
What would you like to unbury?,何の非表示を解除しますか？
"When adding, default to current deck",カード追加の時、現在のデッキを既定にする
"When Anki gathers cards, it first gathers intraday learning cards, then
interday learning cards, then reviews, and finally new cards. This affects
how burying works:

- If you have all burying options enabled, the sibling that comes earliest in
that list will be shown. For example, a review card will be shown in preference
to a new card.
- Siblings later in the list can not bury earlier card types. For example, if you
disable burying of new cards, and study a new card, it will not bury any interday
learning or review cards, and you may see both a review sibling and new sibling in the
same session.","Ankiは学習画面に表示するカードを準備する際、準備リストにまず「現時点のステップが日をまたいでいない（＝ステップの間隔が比較的短く、当日中に再び学習する必要性が高い）習得中/再習得中カード」を並べ、次に「現時点のステップが日をまたいでいる習得中/再習得中カード」、その次に復習カード、最後に新規カードを並べます。この並び方をもとに、どのカードを表示し、どのカードを当日は非表示にするかが次のように決まります：

- すべての非表示オプションが有効になっている場合、リスト内の兄弟どうしのうち、最も先に並んでいるカードのみが表示されます。例えば、リスト内のある復習カードとある新規カードが兄弟どうしの場合、復習カードの方が先に並んでいるので、復習カードが表示され、新規カードは当日は非表示となります。
- リスト内の兄弟どうしのうちで後ろに並んでいるカードの非表示を解除したとしても、先に並んでいる別の種類のカードが代わりに非表示になるということはありません。例えばリスト内の、ある復習カードとある新規カードが兄弟どうしの場合、たとえ新規カードの非表示を解除して学習したとしても、代わりに復習カードが非表示になってしまうことはありません。つまりこの場合は、兄弟どうしである復習カードと新規カードの両方が同じ日に表示されることになります。"
"When auto advance is activated, the number of seconds to wait before applying the answer action. Set to 0 to disable.","「カードの自動送り」機能が有効になっているとき、カードの解答側が表示されてから、自動アクションを適用するまでの待機秒数。

自動アクションを無効にするには、値を0に設定してください。"
"When auto advance is activated, the number of seconds to wait before applying the question action. Set to 0 to disable.","「カードの自動送り」機能が有効になっているとき、カードの質問側が表示されてから、自動アクションが実行されるまでの待機秒数。

この自動アクションを無効にするには、値を0に設定してください。"
"When auto advance is activated, the number of seconds to wait before revealing the answer. Set to 0 to disable.","「カードの自動送り」機能が有効になっているとき、カードの解答側が表示されてから、自動アクションが実行されるまでの待機秒数。

この自動アクションを無効にするには、値を0に設定してください。"
"When auto advance is activated, the number of seconds to wait before revealing the answer. Set to 0 to disable.","「カードの自動送り」機能が有効になっているとき、カードの質問側が表示されてから、解答側を表示するまでの待機秒数。

この自動表示を無効にするには、値を0に設定してください。"
"When changing to or from a Cloze notetype, card numbers remain unchanged.

If changing to a regular notetype, and there are more cloze deletions
than available card templates, any extra cards will be removed.","穴埋め問題ノートタイプへ変更、あるいは穴埋め問題から別のノートタイプへ変更する場合、カード番号はそのまま変わりません。

穴埋め問題ノートタイプから通常のノートタイプへ変更する際、カードテンプレートよりも多くの穴埋め問題がある場合は、超過分のカードは削除されます。"
"When enabled, Anki will not play audio automatically.
It can be played manually by clicking/tapping on an audio icon, or by using the replay audio action.",このオプションがオンの場合、カードの質問側・解答側それぞれを表示したタイミングでの音声の自動再生を行いません。この場合でも、メニューボタンで「音声を再生」アクションを選択すれば、自由なタイミングで音声を再生することができます。
"When FSRS is enabled, learning steps over 1 day are not recommended.",FSRSオプションがオンの場合、1日以上の間隔のステップは推奨されません。
"When some of your review history is missing, FSRS needs to fill in the gaps. By default, it will
assume that when you did those old reviews, you remembered 90% of the material. If your old retention
was appreciably higher or lower than 90%, adjusting this option will allow FSRS to better approximate
the missing reviews.

Your review history may be incomplete for two reasons:
1. Because you've used the 'ignore reviews before' option.
2. Because you previously deleted review logs to free up space, or imported material from a different
SRS program.

The latter is quite rare, so unless you've used the former option, you probably don't need to adjust
this setting.","復習履歴の一部が欠落している場合、FSRSはその部分を仮のデータで補足する必要があります。デフォルトでは、その期間の復習の正答率は90％だったと仮定します。もし、実際の正答率は90%とはかなり異なっていた（もっと高かった、またはもっと低かった）と思う場合は、このオプションの値を調整することで、その欠落部分をより実際に近いデータで補足することができます。

復習履歴の一部が欠落する理由としては、次の２つが考えられます。

(1) 「`指定日より前の復習を無視`」オプションによって復習履歴の一部を無視している

(2) デバイスの空き容量を確保するために復習履歴を削除したか、別のSRSプログラムからデータをインポートしたことがある

(2) は非常にまれなケースなので、(1) が該当していない場合は、おそらくこのオプションの値を調整する必要はないでしょう。"
